ReviewID	Word	Polarity
review_19	B0001Z888A	other
review_19	:	other
review_19	warning	other
review_19	:	other
review_19	_	other
review_19	contains_msg	other
review_19	:	other
review_19	s	other
review_19	.	other
review_19	_	other
review_19	bartell	other
review_19	_	other
review_19	"	other
review_19	abiding_dude	other
review_19	"	other
review_19	B0001Z888A	other
review_19	Smoked	other
review_19	Salmon	other
review_19	Jerky	other
review_19	,	other
review_19	2	other
review_19	pounds	other
review_19	:	other
review_19	Gourmet	other
review_19	Food	other
review_19	gourmet	other
review_19	food	other
review_19	1	other
review_19	of	other
review_19	2	other
review_19	1.0	other
review_19	WARNING	other
review_19	:	other
review_19	CONTAINS	other
review_19	MSG	other
review_19	December	other
review_19	15	other
review_19	,	other
review_19	2005	other
review_19	S	other
review_19	.	other
review_19	Bartell	other
review_19	"	other
review_19	abiding	other
review_19	dude	other
review_19	"	other
review_19	Atlanta	other
review_19	,	other
review_19	GA	other
review_19	USA	other
review_19	I	positive
review_19	love	positive
review_19	salmon	positive
review_19	and	positive
review_19	was	positive
review_19	very	positive
review_19	excited	positive
review_19	about	positive
review_19	having	positive
review_19	salmon	positive
review_19	jerky	positive
review_19	to	positive
review_19	keep	positive
review_19	at	positive
review_19	the	positive
review_19	office	positive
review_19	and	positive
review_19	take	positive
review_19	camping	positive
review_19	and	positive
review_19	skiing	positive
review_19	.	positive
review_19	.	negative
review_19	.	negative
review_19	until	negative
review_19	I	negative
review_19	got	negative
review_19	my	negative
review_19	order	negative
review_19	and	negative
review_19	found	negative
review_19	out	negative
review_19	that	negative
review_19	both	negative
review_19	flavors	negative
review_19	contain	negative
review_19	MSG	negative
review_19	,	negative
review_19	which	negative
review_19	gives	negative
review_19	some	negative
review_19	people	negative
review_19	-LRB-	negative
review_19	like	negative
review_19	me	negative
review_19	-RRB-	negative
review_19	whopping	negative
review_19	headaches	negative
review_19	.	negative
review_19	My	positive
review_19	wife	positive
review_19	thinks	positive
review_19	this	positive
review_19	jerky	positive
review_19	is	positive
review_19	okay	positive
review_19	apart	positive
review_19	from	positive
review_19	the	positive
review_19	processed	positive
review_19	texture	positive
review_19	and	positive
review_19	our	positive
review_19	dogs	positive
review_19	love	positive
review_19	it	positive
review_19	,	positive
review_19	but	negative
review_19	I	negative
review_19	wo	negative
review_19	n't	negative
review_19	be	negative
review_19	trying	negative
review_19	it	negative
review_19	.	negative
review_19	To	positive
review_19	be	positive
review_19	fair	positive
review_19	,	positive
review_19	you	positive
review_19	might	positive
review_19	like	positive
review_19	this	positive
review_19	product	positive
review_19	if	positive
review_19	you	positive
review_19	are	positive
review_19	n't	positive
review_19	sensitive	positive
review_19	to	positive
review_19	MSG	positive
review_19	,	positive
review_19	but	negative
review_19	the	negative
review_19	seller	negative
review_19	should	negative
review_19	have	negative
review_19	noted	negative
review_19	that	negative
review_19	it	negative
review_19	contains	negative
review_19	a	negative
review_19	modern	negative
review_19	ingredient	negative
review_19	that	negative
review_19	causes	negative
review_19	adverse	negative
review_19	reactions	negative
review_19	in	negative
review_19	some	negative
review_19	people	negative
review_19	instead	negative
review_19	of	negative
review_19	describing	negative
review_19	it	negative
review_19	as	negative
review_19	being	negative
review_19	"	negative
review_19	made	negative
review_19	the	negative
review_19	old	negative
review_19	fashioned	negative
review_19	way	negative
review_19	.	negative
review_19	"	negative
review_19	On	positive
review_19	the	positive
review_19	plus	positive
review_19	side	positive
review_19	,	positive
review_19	shipping	positive
review_19	was	positive
review_19	very	positive
review_19	quick	positive
review_19	.	positive
review_8	B00013C2OI	other
review_8	:	other
review_8	takes_forever	other
review_8	!	other
review_8	:	other
review_8	s	other
review_8	.	other
review_8	_	other
review_8	hochman	other
review_8	B00013C2OI	other
review_8	Ultimate	other
review_8	Office	other
review_8	Party	other
review_8	:	other
review_8	Gourmet	other
review_8	Food	other
review_8	gourmet	other
review_8	food	other
review_8	0	other
review_8	of	other
review_8	1	other
review_8	1.0	other
review_8	Takes	other
review_8	Forever	other
review_8	!	other
review_8	January	other
review_8	5	other
review_8	,	other
review_8	2007	other
review_8	S	other
review_8	.	other
review_8	Hochman	other
review_8	Boca	other
review_8	Raton	other
review_8	,	other
review_8	FL	other
review_8	United	other
review_8	States	other
review_8	We	positive
review_8	were	positive
review_8	happy	positive
review_8	with	positive
review_8	the	positive
review_8	gift	positive
review_8	baskets	positive
review_8	that	positive
review_8	were	positive
review_8	delivered	positive
review_8	.	positive
review_8	However	negative
review_8	the	negative
review_8	company	negative
review_8	only	negative
review_8	has	negative
review_8	one	negative
review_8	distribution	negative
review_8	center	negative
review_8	in	negative
review_8	California	negative
review_8	,	negative
review_8	which	negative
review_8	is	negative
review_8	obviously	negative
review_8	not	negative
review_8	efficient	negative
review_8	to	negative
review_8	deliver	negative
review_8	to	negative
review_8	the	negative
review_8	East	negative
review_8	Coast	negative
review_8	.	negative
review_8	Despite	negative
review_8	the	negative
review_8	company	negative
review_8	's	negative
review_8	ambitions	negative
review_8	to	negative
review_8	become	negative
review_8	a	negative
review_8	national	negative
review_8	company	negative
review_8	,	negative
review_8	they	negative
review_8	are	negative
review_8	not	negative
review_8	willing	negative
review_8	to	negative
review_8	pony	negative
review_8	up	negative
review_8	the	negative
review_8	money	negative
review_8	to	negative
review_8	get	negative
review_8	additional	negative
review_8	distribution	negative
review_8	facilities	negative
review_8	outside	negative
review_8	of	negative
review_8	California	negative
review_8	.	negative
review_8	This	positive
review_8	maybe	positive
review_8	great	positive
review_8	if	positive
review_8	you	positive
review_8	live	positive
review_8	in	positive
review_8	California	positive
review_8	.	positive
review_8	However	negative
review_8	I	negative
review_8	live	negative
review_8	in	negative
review_8	Florida	negative
review_8	and	negative
review_8	I	negative
review_8	ordered	negative
review_8	on	negative
review_8	December	negative
review_8	22	negative
review_8	and	negative
review_8	my	negative
review_8	basket	negative
review_8	did	negative
review_8	not	negative
review_8	arrive	negative
review_8	until	negative
review_8	January	negative
review_8	4th	negative
review_8	.	negative
review_8	I	negative
review_8	think	negative
review_8	that	negative
review_8	would	negative
review_8	be	negative
review_8	unacceptable	negative
review_8	in	negative
review_8	anyone	negative
review_8	's	negative
review_8	view	negative
review_8	,	negative
review_8	espescially	negative
review_8	since	negative
review_8	giving	negative
review_8	a	negative
review_8	gift	negative
review_8	basket	negative
review_8	can	negative
review_8	be	negative
review_8	time-sensitive	negative
review_8	.	negative
review_8	Until	negative
review_8	this	negative
review_8	company	negative
review_8	gets	negative
review_8	with	negative
review_8	the	negative
review_8	program	negative
review_8	and	negative
review_8	gets	negative
review_8	other	negative
review_8	distribution	negative
review_8	facilities	negative
review_8	I	negative
review_8	would	negative
review_8	stay	negative
review_8	away	negative
review_8	unless	negative
review_8	you	negative
review_8	want	negative
review_8	to	negative
review_8	wait	negative
review_8	two	negative
review_8	weeks	negative
review_8	for	negative
review_8	a	negative
review_8	simple	negative
review_8	basket	negative
review_8	to	negative
review_8	be	negative
review_8	delivered	negative
review_8	.	negative
review_9	B000328MWI	other
review_9	:	other
review_9	wait_a_couple_days_before_you_review	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	:	other
review_9	paul	other
review_9	B000328MWI	other
review_9	California	other
review_9	Green	other
review_9	Seedless	other
review_9	Grapes	other
review_9	,	other
review_9	1	other
review_9	lbs	other
review_9	:	other
review_9	Gourmet	other
review_9	Food	other
review_9	gourmet	other
review_9	food	other
review_9	9	other
review_9	of	other
review_9	13	other
review_9	1.0	other
review_9	Wait	other
review_9	a	other
review_9	couple	other
review_9	days	other
review_9	before	other
review_9	you	other
review_9	review	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	.	other
review_9	October	other
review_9	14	other
review_9	,	other
review_9	2006	other
review_9	paul	other
review_9	los	other
review_9	angeles	other
review_9	I	negative
review_9	have	negative
review_9	multiple	negative
review_9	concerns	negative
review_9	with	negative
review_9	this	negative
review_9	product	negative
review_9	.	negative
review_9	Out	positive
review_9	of	positive
review_9	the	positive
review_9	box	positive
review_9	,	positive
review_9	they	positive
review_9	really	positive
review_9	do	positive
review_9	look	positive
review_9	fresh	positive
review_9	and	positive
review_9	plump	positive
review_9	like	positive
review_9	they	positive
review_9	do	positive
review_9	in	positive
review_9	the	positive
review_9	picture	positive
review_9	.	positive
review_9	However	negative
review_9	,	negative
review_9	you	negative
review_9	soon	negative
review_9	notice	negative
review_9	the	negative
review_9	lack	negative
review_9	of	negative
review_9	instructions	negative
review_9	.	negative
review_9	None	negative
review_9	.	negative
review_9	The	negative
review_9	only	negative
review_9	documentation	negative
review_9	at	negative
review_9	all	negative
review_9	is	negative
review_9	a	negative
review_9	"	negative
review_9	California	negative
review_9	"	negative
review_9	sticker	negative
review_9	.	negative
review_9	.	negative
review_9	.	negative
review_9	with	negative
review_9	no	negative
review_9	reference	negative
review_9	to	negative
review_9	a	negative
review_9	web	negative
review_9	site	negative
review_9	.	negative
review_9	Nada	negative
review_9	.	negative
review_9	My	negative
review_9	grapes	negative
review_9	broke	negative
review_9	quickly	negative
review_9	.	negative
review_9	When	positive
review_9	I	positive
review_9	received	positive
review_9	them	positive
review_9	they	positive
review_9	looked	positive
review_9	just	positive
review_9	like	positive
review_9	the	positive
review_9	picture	positive
review_9	.	positive
review_9	But	negative
review_9	in	negative
review_9	a	negative
review_9	couple	negative
review_9	days	negative
review_9	I	negative
review_9	started	negative
review_9	noticing	negative
review_9	they	negative
review_9	were	negative
review_9	n't	negative
review_9	as	negative
review_9	plump	negative
review_9	and	negative
review_9	were	negative
review_9	shriveling	negative
review_9	.	negative
review_9	Withing	negative
review_9	a	negative
review_9	week	negative
review_9	,	negative
review_9	many	negative
review_9	were	negative
review_9	brown	negative
review_9	and	negative
review_9	certainly	negative
review_9	lacked	negative
review_9	freshness	negative
review_9	.	negative
review_9	It	negative
review_9	was	negative
review_9	so	negative
review_9	bad	negative
review_9	,	negative
review_9	that	negative
review_9	I	negative
review_9	was	negative
review_9	in	negative
review_9	shock	negative
review_9	,	negative
review_9	and	negative
review_9	I	negative
review_9	kept	negative
review_9	holding	negative
review_9	up	negative
review_9	the	negative
review_9	picture	negative
review_9	next	negative
review_9	to	negative
review_9	them	negative
review_9	to	negative
review_9	compare	negative
review_9	because	negative
review_9	I	negative
review_9	could	negative
review_9	n't	negative
review_9	believe	negative
review_9	it	negative
review_9	.	negative
review_9	It	negative
review_9	was	negative
review_9	like	negative
review_9	they	negative
review_9	were	negative
review_9	deteriorating	negative
review_9	right	negative
review_9	before	negative
review_9	my	negative
review_9	eyes	negative
review_9	.	negative
review_9	Within	negative
review_9	a	negative
review_9	month	negative
review_9	they	negative
review_9	looked	negative
review_9	awful	negative
review_9	.	negative
review_9	They	negative
review_9	looked	negative
review_9	like	negative
review_9	moldy	negative
review_9	raisins	negative
review_9	.	negative
review_9	Really	negative
review_9	Moldy	negative
review_9	.	negative
review_9	Not	negative
review_9	recommended	negative
review_7	B0000WEV58	other
review_7	:	other
review_7	tazo	other
review_7	_	other
review_7	-	other
review_7	_	other
review_7	how_did_this_stuff_ever_catch_on	other
review_7	?	other
review_7	:	other
review_7	i	other
review_7	.	other
review_7	_	other
review_7	j_zelo	other
review_7	B0000WEV58	other
review_7	Tazo	other
review_7	Awake	other
review_7	Tea	other
review_7	Bags	other
review_7	48-pc	other
review_7	.	other
review_7	:	other
review_7	Gourmet	other
review_7	Food	other
review_7	gourmet	other
review_7	food	other
review_7	4	other
review_7	of	other
review_7	7	other
review_7	1.0	other
review_7	Tazo	other
review_7	-	other
review_7	how	other
review_7	did	other
review_7	this	other
review_7	stuff	other
review_7	ever	other
review_7	catch	other
review_7	on	other
